stop_name,stop_lat,location_type,stop_lon,stop_id,parent_station
Piassa Arada (2),9.0330123,0,38.7526242,node/6967281242,
Gojo,9.0418236,0,38.6217166,node/6967318740,
Megenagna Terminal,9.0203188,0,38.8026673,node/7022361366,
Bole Millenium,8.9885373,0,38.7897496,node/7022397409,
Bole Millenium,8.9887535,0,38.789886,node/7022397410,
Goro School,8.9937973,0,38.8267584,node/7022397411,
Summit Condominiums,8.9842788,0,38.8569434,node/7022397413,
Summit Condominiums,8.9842364,0,38.857122,node/7022397414,
Bole Arabsa,8.9720161,0,38.8906061,node/7022397416,
Bole Arabsa,8.9732168,0,38.8903477,node/7022397417,
Aba Kiros Roundabout,9.0561038,0,38.8785675,node/7022397418,
Yeka Abado,9.0689298,0,38.875565,node/7022397420,
Yeka Abado,9.0688377,0,38.8756232,node/7022397421,
Gurara,9.0626109,0,38.7894476,node/7037142410,
Abuare Roundabout,9.026427,0,38.7757967,node/7037142414,
Abuare Roundabout,9.026504,0,38.7759255,node/7037142415,
Marathon Motor (Megenagna),9.0224201,0,38.8000289,node/7037142417,
Yeha,9.060739,0,38.7836264,node/7037142419,
Tena Tabya,9.0608445,0,38.7839285,node/7037142420,
Biret Dildiy (Bono Wuha),9.0598571,0,38.7811505,node/7037142421,
Bret Dildy (Bono Wuha),9.0599927,0,38.7810894,node/7037142422,
Atlas,9.0042786,0,38.7797667,node/7037142423,
Bole Medhanialem,8.9983386,0,38.7860596,node/7037142424,
Bole Medhanialem,8.9984556,0,38.7862428,node/7037142426,
24,9.0098865,0,38.800549,node/7037142427,
Dinberwa Hospital,9.0221273,0,38.7866932,node/7037142428,
Kokebe Tsebah School,9.0345238,0,38.7802113,node/7037142430,
Kokebe Tsebah School,9.034441,0,38.7799476,node/7037142431,
Belgium Embassy,9.031876,0,38.7839469,node/7037142433,
British Embassy,9.0311083,0,38.784892,node/7037142434,
British Embassy,9.0309087,0,38.7855544,node/7037142435,
Abebe Sook,9.0287538,0,38.7887162,node/7037142436,
Shola Gebeya,9.0250779,0,38.7952986,node/7037142438,
Yeka Michael,9.0244101,0,38.7961373,node/7037142439,
Megenagna,9.0180934,0,38.8021491,node/7037142441,
Megenagna,9.0182711,0,38.8017521,node/7037142442,
Derartu,8.8869301,0,38.7818835,node/7037142443,
Gelan Condominium,8.8857405,0,38.7838224,node/7037142444,
08 Adarash,8.8844269,0,38.785591,node/7037142445,
Meshuwalekia Akaki,8.8768791,0,38.7865961,node/7037142446,
Akaki Beretaberet,8.8738843,0,38.7887478,node/7037142448,
G7 (Tulu Dimtu),8.870907,0,38.8207065,node/7037142450,
Tulu Dimtu,8.8552763,0,38.8042339,node/7037142454,
Tulu Dimtu,8.8556159,0,38.8041524,node/7037142455,
Akaki Korkoro,8.8597556,0,38.7961539,node/7037142456,
Belay Ab Moters (Alem Bank),8.8668237,0,38.7987744,node/7037142458,
Tulu Dimtu (Taf Gas Station),8.8688691,0,38.8051915,node/7037142459,
Arsema,8.8722685,0,38.8136608,node/7037142460,
Selam Sefer (Tapela Gar),8.8722281,0,38.8140262,node/7037142461,
Tulu Dimtu Adebabay,8.8747821,0,38.8201689,node/7037142462,
Project 12 Akababi,8.8658608,0,38.8218482,node/7037142464,
Mahiber Betoch,8.8592154,0,38.8148895,node/7037142465,
Bole Dildiy,8.9869933,0,38.7912061,node/7037142466,
Megenagna / Zefmesh,9.02034,0,38.8000136,node/7037142467,
Megenagna,9.0213214,0,38.8010735,node/7037142469,
Megenagna,9.0217137,0,38.8015921,node/7037142470,
Abysinia Cafe Area,9.0215363,0,38.8100422,node/7037142471,
Abysinia Cafe Area,9.0213396,0,38.810853,node/7037142472,
Century Mall,9.0196778,0,38.8132781,node/7037142474,
Gurd-shola,9.0187352,0,38.8215105,node/7037142475,
Menaheria,9.0239816,0,38.8192066,node/7037142476,
Menaheria,9.0238758,0,38.8192354,node/7037142477,
Gerji Mebrat Haile,9.003632,0,38.814876,node/7037142479,
Gerji Mebrat Haile,9.0037638,0,38.8132574,node/7037142483,
Lamberet,9.0253421,0,38.8251916,node/7037142484,
Lamberet Area,9.0258842,0,38.8271787,node/7037183485,
Lamberet Area,9.0260507,0,38.8273076,node/7037183486,
Lamberet Area,9.0259969,0,38.8271189,node/7037183487,
Yerer Goro,8.9913503,0,38.8294063,node/7037183490,
Yerer Goro,8.9913192,0,38.8292171,node/7037183491,
Se'alite Mihret Church,9.020263,0,38.8265756,node/7037183492,
Management Institute,9.0203852,0,38.82686,node/7037183493,
Sealite Mihret,9.0203048,0,38.8273219,node/7037183494,
Civil Service College,9.0216167,0,38.8342032,node/7037183495,
St. Michael,9.021312,0,38.8414217,node/7037183496,
St. Micheal Church,9.0215489,0,38.8425033,node/7037183497,
Salite Mihret,9.0283709,0,38.8331954,node/7037183498,
Hillside (Ethio-China Mebrathaile),9.0285264,0,38.8333256,node/7037183499,
Wessen Michael,9.030459,0,38.838592,node/7037183501,
Wessen,9.0330948,0,38.8442968,node/7037183504,
Wessen,9.033228,0,38.8445812,node/7037183505,
Wessen (Mariam),9.0330982,0,38.8446898,node/7037183507,
Kotebe Teachers College,9.0342084,0,38.8466963,node/7037183508,
Yabem Hotel,9.0357649,0,38.8533863,node/7037183509,
Kotebe Gebriel,9.036101,0,38.8545188,node/7037183510,
Yetebaberut,9.0201901,0,38.8526027,node/7037183513,
Yetebaberut,9.0207031,0,38.8539074,node/7037183515,
Meri,9.0207092,0,38.8603565,node/7037183516,
Meri (Yetebaberut),9.0205124,0,38.8610727,node/7037183518,
Ayat,9.0208331,0,38.8686047,node/7037183519,
Ayat Zone 2,9.0210633,0,38.8678248,node/7037183520,
Kara (Turn),9.0379427,0,38.8606002,node/7037183521,
Medhanalem Church,9.0401552,0,38.8640163,node/7037183523,
Safari,9.0106828,0,38.852259,node/7037183525,
Summit (MOHA),9.0043876,0,38.8520658,node/7037183527,
Saint Georgis,8.9955228,0,38.8513132,node/7037183528,
Tena Tabeya,8.9941038,0,38.860685,node/7037183529,
Gate 2,8.9894728,0,38.8582866,node/7037183532,
Summit Condominiums,8.9846055,0,38.8544474,node/7037183533,
Ayat Train Station,9.0213287,0,38.8719812,node/7037183535,
CMC,9.0211208,0,38.872594,node/7037183536,
Ayat Square,9.0212396,0,38.8767684,node/7037183537,
Feres Bet,9.0216916,0,38.8862575,node/7037183538,
Police Tabia,9.0170704,0,38.8946069,node/7037183539,
Tsebel,9.0222555,0,38.891209,node/7037183540,
Bono Meskid,9.0219034,0,38.8902931,node/7037183541,
Ayat Chefe Condominium,9.0113906,0,38.8946677,node/7037183542,
Ayat Chefe Condominium,9.0109368,0,38.8944878,node/7037183543,
Nebu Mikael,9.0023517,0,38.8767662,node/7037183545,
Ayat Adebabay Hulet (2),8.9965746,0,38.8851706,node/7037183546,
