route_long_name,route_short_name,agency_id,route_id,route_type,route_desc,route_color,route_text_color
Megenagna ↔ Bulbula (Minibus),Tx Bole 011,AA,15845950,3,,1779c2,ffffff
Bulbula ↔ Bole Bridge (Minibus),Tx Bole 012,AA,15846182,3,,1779c2,ffffff
Goro ↔ Bole Bridge (Minibus),Tx Bole 009,AA,15850226,3,,1779c2,ffffff
Safari ↔ Bole Bridge (Minibus),Tx Bole 010,AA,15850509,3,,1779c2,ffffff
Saris ↔ Derartu (Minibus),Tx Kal 011,AA,15850623,3,,1779c2,ffffff
Tekle Haimanot ↔ Bole Mickael (Minibus),Tx Bole 015,AA,15858008,3,,1779c2,ffffff
Bole Mickael ↔ Autobus Tera (Minibus),Tx Bole 016,AA,15858151,3,,1779c2,ffffff
Piassa Arada ↔ Bole Mickael (Minibus),Tx Bole 018,AA,15858269,3,,1779c2,ffffff
Piassa Arada ↔ Bole Bridge (Minibus),Tx Bole 019,AA,15858339,3,,1779c2,ffffff
Bole Bridge ↔ Autobus Tera (Minibus),Tx Bole 020,AA,15858404,3,,1779c2,ffffff
Tulu Dimtu ↔ Megenagna (Minibus),Tx Bole 021,AA,15858713,3,,1779c2,ffffff
Saint Georgis ↔ Megenagna (Minibus),Tx Bole 022,AA,15858887,3,,1779c2,ffffff
Ayer Tena ↔ Hana Mariam (Minibus),Tx Lafto 002,AA,15858958,3,,1779c2,ffffff
Sefera ↔ Ayer Tena (Minibus),Tx Lafto 003,AA,15861781,3,,1779c2,ffffff
Gelan Condominium ↔ Haile Garment (Minibus),Tx Lafto 004,AA,15861962,3,,1779c2,ffffff
Tulu Dimtu ↔ Saris (Minibus),Tx Lafto 008,AA,15863862,3,,1779c2,ffffff
Sefera ↔ Jemmo 1 (Minibus),Tx Lafto 009,AA,15864075,3,,1779c2,ffffff
Total 3 Kuter Mazoria ↔ Kara (Minibus),Tx Lafto 010,AA,15865443,3,,1779c2,ffffff
Kera ↔ Autobus Tera (Minibus),Tx Lafto 011,AA,15865947,3,,1779c2,ffffff
Kera ↔ Kality Total (Minibus),Tx Lafto 012,AA,15866774,3,,1779c2,ffffff
Kality Maseltegna ↔ Jemmo 1 (Minibus),Tx Lafto 013,AA,15867049,3,,1779c2,ffffff
Piassa Arada ↔ Jemmo 1 (Minibus),Tx Lafto 014,AA,15867151,3,,1779c2,ffffff
Jemmo 1 ↔ Alem Gena (Minibus),Tx Lafto 015,AA,15867420,3,,1779c2,ffffff
Piassa Arada ↔ German Square (Minibus),Tx Lafto 017,AA,15867572,3,,1779c2,ffffff
Tekle Haimanot ↔ Gofa (Minibus),Tx Lafto 018,AA,15867651,3,,1779c2,ffffff
Gofa ↔ Ayer Tena (Minibus),Tx Lafto 021,AA,15867786,3,,1779c2,ffffff
Alem Gena ↔ Gofa (Minibus),Tx Lafto 019,AA,15869243,3,,1779c2,ffffff
Gofa ↔ Alem Bank (Minibus),Tx Lafto 020,AA,15869312,3,,1779c2,ffffff
Kera ↔ German Square (Minibus),Tx Lafto 022,AA,15869366,3,,1779c2,ffffff
Mexico ↔ German Square (Minibus),Tx Lafto 023,AA,15869889,3,,1779c2,ffffff
Mexico ↔ Mekanisa Abo (Minibus),Tx Lafto 024,AA,15870075,3,,1779c2,ffffff
Mekanisa ↔ Piassa Arada (Minibus),Tx Lafto 025,AA,15870224,3,,1779c2,ffffff
Sefera ↔ Mexico (Minibus),Tx Lafto 026,AA,15870632,3,,1779c2,ffffff
Jemmo Mickael ↔ Autobis Tera (Minibus),Tx Lafto 027,AA,15870793,3,,1779c2,ffffff
Kality Menaheria ↔ Jemmo 1 (Minibus),Tx Lafto 028,AA,15870960,3,,1779c2,ffffff
Mebrathile ↔ Ayer Tena (Minibus),Tx Lafto 031,AA,15871080,3,,1779c2,ffffff
Mexico ↔ Mebrathile (Minibus),Tx Lafto 032,AA,15871275,3,,1779c2,ffffff
Merab Hotel ↔ Alem Bank (Minibus),Tx Kolfa 001,AA,15871624,3,,1779c2,ffffff
Mexico ↔ Alem Bank (Minibus),Tx Kolfe 003,AA,15876625,3,,1779c2,ffffff
Alem Bank ↔ Mexico Shebelle Hotel (Minibus),Tx Kolfa 004,AA,15876725,3,,1779c2,ffffff
Torhayloch ↔ Alem Bank (Minibus),Tx Kolfa 005,AA,15876752,3,,1779c2,ffffff
Germen Square ↔ Ayer Tena (Minibus),Tx Kolfa 006,AA,15876870,3,,1779c2,ffffff
Jemmo 1 ↔ Ayer Tena (Minibus),Tx Kolfa 007,AA,15876935,3,,1779c2,ffffff
Mexico ↔ Ayer Tena (Minibus),Tx Kolfa 008,AA,15877451,3,,1779c2,ffffff
Mexico Shebelle Hotel ↔ Betel (Minibus),Tx Kolfa 009,AA,15877500,3,,1779c2,ffffff
Zenebewerk ↔ Mexico (Minibus),Tx Kolfa 015,AA,15879148,3,,1779c2,ffffff
Alem Bank ↔ 18 Mazoria (Minibus),Tx Kolfa 010,AA,15880133,3,,1779c2,ffffff
Merab Hotel ↔ Ayer Tena (Minibus),Tx Kolfa 011,AA,15880213,3,,1779c2,ffffff
Merab Hotel ↔ Betel (Minibus),Tx Kolfa 012,AA,15880308,3,,1779c2,ffffff
Meraba Hotel ↔ Kara Kore (Minibus),Tx Kolfa 013,AA,15880397,3,,1779c2,ffffff
Zenebewerk ↔ Piassa Arada (Minibus),Tx Kolfa 014,AA,15880659,3,,1779c2,ffffff
Zenebewerk ↔ Mexico Shebelle Hotel (Minibus),Tx Kolfa 016,AA,15881004,3,,1779c2,ffffff
Zenebewerk Meneharia ↔ Autobus Tera (Minibus),Tx Kolfa 017,AA,15881508,3,,1779c2,ffffff
Atena Tera ↔ Alem Bank (Minibus),Tx Kolfa 018,AA,15881684,3,,1779c2,ffffff
Mexico Shebelle Hotel ↔ Kara Kore (Minibus),Tx Kolfa 019,AA,15882444,3,,1779c2,ffffff
Tekle Haimanot ↔ Kara Kore (Minibus),Tx Kolfa 020,AA,15882498,3,,1779c2,ffffff
Kara Kore ↔ Autobus Tera (Minibus),Tx Kolfa 021,AA,15882550,3,,1779c2,ffffff
Kara Kore ↔ Atena Tera (Minibus),Tx Kolfa 022,AA,15882638,3,,1779c2,ffffff
Ayer Tena ↔ Asko (Minibus),TX Kolfe 023,AA,15883171,3,,1779c2,ffffff
Yeshi Debele ↔ Atena Tera (Minibus),Tx Kolfa 024,AA,15885969,3,,1779c2,ffffff
Kara Kore ↔ 18 Mazoria (Minibus),Tx Kolfa 025,AA,15886152,3,,1779c2,ffffff
Yeshi Debele ↔ Sebategna (Minibus),Tx Kolfa 026,AA,15887144,3,,1779c2,ffffff
Yeshi Debele ↔ Winget (Minibus),Tx Kolfa 027,AA,15887191,3,,1779c2,ffffff
Yeshi Debele ↔ 18 Mazoria (Minibus),Tx Kolfa 028,AA,15887240,3,,1779c2,ffffff
Leghar ↔ Kality Total (Minibus),Tx Kal 017,AA,15898347,3,,1779c2,ffffff
Atena Tera ↔ Addisu Gebeya (Minibus),Tx Gl 001,AA,15900380,3,,1779c2,ffffff
Addisu Gebeya ↔ Ertirea Hotel (Minibus),Tx Gl 002,AA,15900555,3,,1779c2,ffffff
Piassa ↔ Kechenie (Minibus),Tx Gl 003,AA,15900883,3,,1779c2,ffffff
Shegole ↔ Piassa Arada (Minibus),Tx Gl 004,AA,15901020,3,,1779c2,ffffff
Megenagna (Marathon Motors) ↔ 6 Kilo (Minibus),Tx Gl 005,AA,15901146,3,,1779c2,ffffff
Kazanchis ↔ 6 Kilo (Minibus),Tx Gl 007,AA,15901995,3,,1779c2,ffffff
piassa ↔ Addisu Gebeya (Minibus),Tx Gl 008,AA,15902043,3,,1779c2,ffffff
Shiromeda ↔ Kazanchis (Minibus),Tx Gl 009,AA,15902171,3,,1779c2,ffffff
Shiromeda ↔ Raguel Church (Minibus),Tx Gl 010,AA,15902285,3,,1779c2,ffffff
Mexico ↔ Addisu Gebeya (Minibus),Tx Gl 011,AA,15902321,3,,1779c2,ffffff
Addisu Gebeya ↔ Asko (Minibus),Tx Gl 012,AA,15903001,3,,1779c2,ffffff
Shegole ↔ Autobis Tera (Minibus),Tx Gl 013,AA,15903091,3,,1779c2,ffffff
Summit Condominiums ↔ Aba Kiros (Minibus),Tx LK 001,AA,15903260,3,,1779c2,ffffff
Ayat ↔ Bole Arabsa (Minibus),Tx LK 002,AA,15903402,3,,1779c2,ffffff
Aba Kiros ↔ Bole Arabsa (Minibus),Tx LK 003,AA,15903454,3,,1779c2,ffffff
Megenagna ↔ Summit Condominiums (Minibus),Tx LK 004,AA,15903518,3,,1779c2,ffffff
Tafo Square ↔ Megenagna (Minibus),Tx LK 005,AA,15904627,3,,1779c2,ffffff
Goro ↔ Bole Arabsa (Minibus),Tx LK 006,AA,15904691,3,,1779c2,ffffff
22 Mazoria ↔ Ayat Chefe Condominium (Minibus),Tx LK 007,AA,15904811,3,,1779c2,ffffff
Goro ↔ Aba Kiros (Minibus),Tx LK 008,AA,15905759,3,,1779c2,ffffff
Aba Kiros ↔ Megenagna (Minibus),Tx LK 009,AA,15905796,3,,1779c2,ffffff
Megenagna ↔ Ayat Chefe Condominium (Minibus),Tx LK 010,AA,15905849,3,,1779c2,ffffff
Summit Condominiums ↔ Megenagna (Minibus),Tx LK 013,AA,15906133,3,,1779c2,ffffff
Bole Arabsa ↔ Ayat (Minibus),Tx LK 014,AA,15906163,3,,1779c2,ffffff
Torhayloch ↔ Piassa Arada (Minibus),Tx LID 003,AA,15906876,3,,1779c2,ffffff
Torhayloch ↔ Stadium (Minibus),Tx LID 004,AA,15906946,3,,1779c2,ffffff
Torhayloch ↔ Megenagna (Minibus),Tx LID 009,AA,15907058,3,,1779c2,ffffff
Tekle Haimanot ↔ Megenagna (Minibus),Tx LID 010,AA,15907234,3,,1779c2,ffffff
Asko ↔ Torhayloch (Minibus),Tx LID 011,AA,15907305,3,,1779c2,ffffff
Megenagna ↔ Addisu Gebeya (Minibus),Tx YK 001,AA,15909909,3,,1779c2,ffffff
Megenagna ↔ Kara (Minibus),Tx YK 004,AA,15909991,3,,1779c2,ffffff
Shiromeda ↔ Megenagna (Minibus),Tx YK 006,AA,15910058,3,,1779c2,ffffff
Ferensay ↔ 4 Kilo (Minibus),Tx YK 007,AA,15910153,3,,1779c2,ffffff
Megenagna ↔ Kality Total (Minibus),Tx YK 009,AA,15910213,3,,1779c2,ffffff
Megenagna ↔ Ayat (Minibus),Tx YK 010,AA,15910286,3,,1779c2,ffffff
Megenagna ↔ Ferensay (Minibus),Tx YK 011,AA,15910343,3,,1779c2,ffffff
St. George Total ↔ Ferensay (Minibus),Tx YK 012,AA,15910407,3,,1779c2,ffffff
Raguel Church ↔ Ferensay (Minibus),Tx YK 013,AA,15910507,3,,1779c2,ffffff
Mexico ↔ Lamberet Menaheria (Minibus),Tx YK 016,AA,15910595,3,,1779c2,ffffff
Kidane Mihret ↔ Shola Gebeya (Minibus),Tx YK 023,AA,15912626,3,,1779c2,ffffff
Mexico ↔ Megenagna (Minibus),Tx KRK 002,AA,15912956,3,,1779c2,ffffff
Total 3 Kuter Mazoria ↔ Kera (Minibus),Tx KRK 003,AA,15912995,3,,1779c2,ffffff
Kazanchis ↔ Megenagna (Minibus),Tx KRK 004,AA,15913024,3,,1779c2,ffffff
Stadium ↔ Autobus Tera (Minibus),Tx KRK 006,AA,15913086,3,,1779c2,ffffff
Kazanchis ↔ Bole Bridge (Minibus),Tx KRK 007,AA,15913109,3,,1779c2,ffffff
Legehar ↔ Kality Total (Minibus),Tx KRK 008,AA,15913170,3,,1779c2,ffffff
Wello Sefer ↔ Kera (Minibus),Tx KRK 009,AA,15913211,3,,1779c2,ffffff
Stadium ↔ Kera (Minibus),Tx KRK 011,AA,15913312,3,,1779c2,ffffff
Shiromeda ↔ Buna Ena Shay (Minibus),Tx KRK 013,AA,15913400,3,,1779c2,ffffff
Piassa Arada ↔ Adey Abeba (Minibus),Tx ARD 002,AA,15913788,3,,1779c2,ffffff
Addisu Gebeya ↔ Piassa (Minibus),Tx ARD 003,AA,15913797,3,,1779c2,ffffff
Kality Total ↔ Piassa Arada (Minibus),Tx ARD 004,AA,15913851,3,,1779c2,ffffff
Jemmo 1 ↔ Piassa Arada (Minibus),Tx ARD 005,AA,15913986,3,,1779c2,ffffff
4 Kilo ↔ Megenagna (Minibus),Tx ARD 007,AA,15916307,3,,1779c2,ffffff
Piassa Arada ↔ Alem Bank (Minibus),Tx ARD 006,AA,15916364,3,,1779c2,ffffff
Saris ↔ Piassa Arada (Minibus),Tx ARD 008,AA,15916401,3,,1779c2,ffffff
Amanuel total ↔ Merab Hotel (Minibus),Tx ADK 002,AA,15916629,3,,1779c2,ffffff
Asko ↔ Autobis Tera (Minibus),Tx ADK 004,AA,15916756,3,,1779c2,ffffff
Menlik Hospital ↔ Autobus Tera (Minibus),Tx ADK 008,AA,15916839,3,,1779c2,ffffff
Abune Petros ↔ Asko (Minibus),Tx ADK 009,AA,15916909,3,,1779c2,ffffff
Alem Bank ↔ Autobus Tera (Minibus),Tx ADK 011,AA,15916957,3,,1779c2,ffffff
Haile Garment ↔ Autobus Tera (Minibus),Tx ADK 012,AA,15917637,3,,1779c2,ffffff
Shiromeda ↔ Autobus Tera (Minibus),Tx ADK 013,AA,15917697,3,,1779c2,ffffff
Kera ↔ Autobus Tera (Minibus),Tx ADK 014,AA,15917888,3,,1779c2,ffffff
Kality Total ↔ Autobus Tera (Minibus),Tx ADK 015,AA,15917949,3,,1779c2,ffffff
Jemmo 1 ↔ Autobis Tera (Minibus),Tx ADK 016,AA,15917971,3,,1779c2,ffffff
Kechenie ↔ Eritrea Hotel (Minibus),Tx ADK 017,AA,15918070,3,,1779c2,ffffff
Bole Bridge ↔ Cinema Ras (Minibus),Tx ADK 020,AA,15919609,3,,1779c2,ffffff
Cinema Ras ↔ Bole Mekael (Minibus),Tx ADK 021,AA,15919798,3,,1779c2,ffffff
Kera ↔ Cinema Ras (Minibus),Tx ADK 022,AA,15919880,3,,1779c2,ffffff
Autobus Tera ↔ Asko (Minibus),Tx ADK 026,AA,15921312,3,,1779c2,ffffff
Tekle Haimanot ↔ Alem Bank (Minibus),Tx ADK 028,AA,15921454,3,,1779c2,ffffff
Winget ↔ Torhayloch (Minibus),Tx ADK 030,AA,15921591,3,,1779c2,ffffff
Asco ↔ Atena Tera (Minibus),Tx ADK 031,AA,15921656,3,,1779c2,ffffff
Mekanisa ↔ Cinema Ras (Minibus),Tx ADK 038,AA,15957904,3,,1779c2,ffffff
Megenagna ↔ Cinema Ras (Minibus),Tx ADK 042,AA,15958044,3,,1779c2,ffffff
Yeshi Debele ↔ Merab Hotel (Minibus),Tx ADK 043,AA,15958107,3,,1779c2,ffffff
Merab Hotel ↔ Mekanisa (Minibus),Tx ADK 044,AA,15958349,3,,1779c2,ffffff
Saris Abo ↔ Cinema Ras (Minibus),Tx ADK 047,AA,15958502,3,,1779c2,ffffff
Tekle Haimanot ↔ Saris Abo (Minibus),Tx ADK 048,AA,15958564,3,,1779c2,ffffff
Atena Tera ↔ Alem Bank (Minibus),Tx ADK 052,AA,15958618,3,,1779c2,ffffff
Bole Bridge ↔ Autobus Tera (Minibus),Tx ADK 053,AA,15958644,3,,1779c2,ffffff
Raguel Church ↔ Menlik Hospital (Minibus),Tx ADK 058,AA,15958710,3,,1779c2,ffffff
Kality Menaheria ↔ 4 Kilo (Minibus),Tx ARD 011,AA,15960815,3,,1779c2,ffffff
Piassa Arada ↔ Mekanisa (Minibus),Tx ARD 012,AA,15960877,3,,1779c2,ffffff
Bole Medhanialem ↔ Piassa Arada (Minibus),Tx ARD 016,AA,15960944,3,,1779c2,ffffff
Cinema Ras ↔ Bole Medhanialem (Minibus),Tx Bole 023,AA,15960977,3,,1779c2,ffffff
Addisu Gebeya ↔ Eritrea Hotel (Minibus),Tx Gl 018,AA,15961078,3,,1779c2,ffffff
Gojam Berenda ↔ Kality Total (Minibus),Tx Kal 032,AA,15961305,3,,1779c2,ffffff
Lamberet Menaheria ↔ Kality Total (Minibus),Tx Kal 033,AA,15961341,3,,1779c2,ffffff
Mexico ↔ Gelan Condominium (Minibus),Tx Kal 037,AA,15961494,3,,1779c2,ffffff
Weybla Mariam ↔ Merab Hotel (Minibus),Tx Kolfa 034,AA,15961764,3,,1779c2,ffffff
Stadium ↔ Zenebewerk (Minibus),Tx Kolfa 036,AA,15961854,3,,1779c2,ffffff
