trip_id,route_id,service_id,shape_id,direction_id,trip_headsign
146,15850509,0,15850507,1,Bole Bridge
147,15850623,0,15850621,0,Saris
148,15850623,0,15850622,1,Derartu
149,15858008,0,15858007,0,Tekle Haimanot
150,15858008,0,15858006,1,Bole Mickael
151,15858151,0,15858149,0,Bole Mickael
152,15858151,0,15858150,1,Autobus Tera
153,15858269,0,15858268,0,Piassa Arada
154,15858269,0,15858267,1,Bole Mickael
155,15858339,0,15858338,0,Piassa Arada
156,15858339,0,15858337,1,Bole Bridge
157,15858404,0,15858402,0,Bole Bridge
158,15858404,0,15858403,1,Autobus Tera
159,15858713,0,15858712,0,Tulu Dimtu
160,15858713,0,15858711,1,Megenagna
161,15858887,0,15858886,0,Saint Georgis
162,15858887,0,15858885,1,Megenagna
163,15858958,0,15858956,0,Hana Mariam
164,15861781,0,15861780,0,Sefera
165,15861781,0,15861961,1,Ayer Tena
166,15861962,0,15861960,0,Gelan Condominium
167,15861962,0,15858957,1,Haile Garment
168,15863862,0,15863860,0,Tulu Dimtu
169,15863862,0,15863861,1,Saris
170,15864075,0,15864073,0,Sefera
171,15864075,0,15864074,1,Jemmo 1
172,15865443,0,15865441,0,Total 3 Kuter Mazoria
173,15865443,0,15865442,1,Kara
174,15865947,0,15865946,0,Kera
175,15865947,0,15865945,1,Autobus Tera
176,15866774,0,15866773,0,Kera
177,15866774,0,15866772,1,Kality Total
178,15867049,0,15867047,0,Kality Maseltegna
179,15867049,0,15867048,1,Jemmo 1
180,15867151,0,15867149,0,Piassa Arada
181,15867151,0,15867150,1,Jemmo 1
182,15867420,0,15867418,0,Jemmo 1
183,15867420,0,15867419,1,Alem Gena
184,15867572,0,15867571,0,Piassa Arada
185,15867572,0,15867570,1,German Square
186,15867651,0,15867650,0,Tekle Haimanot
187,15867651,0,15867649,1,Gofa
188,15867786,0,15867784,0,Gofa
189,15867786,0,15867785,1,Ayer Tena
190,15869243,0,15869242,0,Alem Gena
191,15869243,0,15869241,1,Gofa
192,15869312,0,15869310,0,Gofa
193,15869312,0,15869311,1,Alem Bank
194,15869366,0,15869365,0,Kera
